Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,84.69530144188154,25.79807347759259,25.66739618758859,24.638678976033887,23.287664831092574
2006-Jan-01 02:00:00,89.33637513101188,25.06946825710865,25.058653324199962,23.980345642700556,23.237449667267132
2006-Jan-01 03:00:00,91.78986349185728,24.63077217852782,24.64642336994977,23.838678976033886,23.170884298351655
2006-Jan-01 04:00:00,93.6545619725649,24.300565239187303,24.311202490771194,23.738678976033885,23.124198851027927
2006-Jan-01 05:00:00,95.2910305239344,23.96517069832191,23.971649096604605,23.58034564270055,23.04004769665505
2006-Jan-01 06:00:00,97.1983037312413,23.584047093846767,23.593256602464905,23.438678976033884,22.951377600353553
2006-Jan-01 07:00:00,98.20372364737578,23.392646079983134,23.412217463237486,24.038678976033882,23.177090444505552
2006-Jan-01 08:00:00,94.94554330714261,24.066823198928475,23.920702999533543,25.19701230936722,23.656953216827464
2006-Jan-01 09:00:00,89.5889501365836,25.25974699775656,25.108965255500653,26.33867897603389,24.152324264904546
2006-Jan-01 10:00:00,83.59642214381275,26.667742712454494,26.57562966307145,27.438678976033888,24.53731448968092
2006-Jan-01 11:00:00,78.2341887695865,27.983957924905983,27.920689706996143,28.480345642700552,24.93544727523224
2006-Jan-01 12:00:00,74.84241979705259,28.987544259770363,28.859700796480784,29.538678976033882,25.347060788357187
2006-Jan-01 13:00:00,73.06920561377378,29.57130274852282,29.41924070510215,29.99701230936722,25.496041236691497
2006-Jan-01 14:00:00,71.1276303579682,30.075758524158363,29.98383012205423,29.99701230936722,25.399031463580332
2006-Jan-01 15:00:00,70.73437555425785,30.091525372751466,29.890102090530178,29.99701230936722,25.329225416723133
2006-Jan-01 16:00:00,71.6571602524928,29.778622080176806,29.51234649579617,29.822012309367214,25.170236265019046
2006-Jan-01 17:00:00,72.68523686041964,29.39243740391794,29.05827948630865,29.46367897603388,25.0349587162133
2006-Jan-01 18:00:00,75.73729129974778,28.594065404306573,28.01811839106038,29.12201230936722,24.85814666899829
2006-Jan-01 19:00:00,78.55324702192354,27.791132673183938,27.20836972031918,28.530345642700553,24.591924512950513
2006-Jan-01 20:00:00,80.59932029179586,27.26136250840501,26.83840260434786,27.78867897603389,24.455272933602277
2006-Jan-01 21:00:00,82.28395217906886,26.948628629576223,26.62335812498812,27.030345642700553,24.334316080381267
2006-Jan-01 22:00:00,83.47244335758376,26.684063547964872,26.42759784343684,26.46367897603388,24.038167692775698
2006-Jan-01 23:00:00,83.47266995866728,26.479179720572663,26.267383401215525,26.063678976033884,23.74055704931347
2006-Jan-02 00:00:00,83.16155933422525,26.285979264674072,26.106959049375376,25.605345642700552,23.36317561588632
2006-Jan-02 01:00:00,82.65019845913307,26.019388033890646,25.87945046594359,25.163678976033882,22.94379481069582
2006-Jan-02 02:00:00,82.24042535404307,25.756946323181438,25.619820073271185,24.997012309367218,22.785212927762583
2006-Jan-02 03:00:00,83.19125597244869,25.599666304122845,25.471681295969265,24.997012309367218,23.254904839356303
2006-Jan-02 04:00:00,84.75411927936433,25.590198840066805,25.422417317796704,24.997012309367218,23.12120101459018
2006-Jan-02 05:00:00,85.45004455439233,25.33622038338039,25.183816614546988,24.413678976033882,23.070148171322057
2006-Jan-02 06:00:00,88.46263232175552,25.05598386778031,24.954018101496242,24.34701230936722,23.30017772779279
2006-Jan-02 07:00:00,89.5015835191882,25.005088574691758,24.836697707205417,24.83034564270055,23.48049741438979
2006-Jan-02 08:00:00,89.23598250572,25.203141815900306,25.02627524351485,25.58034564270055,23.759743633507295
2006-Jan-02 09:00:00,86.78833317449146,25.74762460180463,25.63213265056436,25.997012309367218,23.87624405649991
2006-Jan-02 10:00:00,83.33589958980177,26.463434843936355,26.443787133643127,26.580345642700554,24.01966407800298
2006-Jan-02 11:00:00,80.20761863683913,27.07985899061809,26.908178775999847,27.522012309367216,24.17344500234942
2006-Jan-02 12:00:00,75.41926878364517,28.003944553901125,27.970148546893796,28.422012309367222,24.236081590256244
2006-Jan-02 13:00:00,69.5336454462933,29.339912037080293,29.237354448537758,30.08034564270055,24.81934083928094
2006-Jan-02 14:00:00,67.95524417231145,29.777993135062996,29.37818544293029,30.997012309367218,24.79376057462083
2006-Jan-02 15:00:00,66.99145737440075,29.612048026131685,29.22267393380237,30.58867897603388,24.348055146967713
2006-Jan-02 16:00:00,66.56238887718736,29.442900818588218,29.09342882393355,29.947012309367214,24.134867244876347
2006-Jan-02 17:00:00,68.21813070047064,28.907255490837304,28.474981567666703,29.28867897603389,23.989493556627938
2006-Jan-02 18:00:00,70.36283720868974,28.26454132712431,27.758034784749984,28.763678976033887,23.634403896794463
