Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,84.98565370955639,25.767132059836523,25.603560847170616,24.639555652862196,23.288541507920886
2006-Jan-01 02:00:00,89.69319939334889,25.02776290376727,24.985386615122952,23.981222319528865,23.23832634409544
2006-Jan-01 03:00:00,92.19339954124693,24.581089934330674,24.567631176628097,23.83955565286219,23.171760975179964
2006-Jan-01 04:00:00,94.09757824378953,24.244359947394255,24.22833038609649,23.739555652862194,23.12507552785624
2006-Jan-01 05:00:00,95.77645068793908,23.902249713404057,23.88457285625543,23.581222319528862,23.04092437348336
2006-Jan-01 06:00:00,97.73703448085996,23.513115684978427,23.501019449896237,23.439555652862193,22.95225427718186
2006-Jan-01 07:00:00,98.78921123023481,23.314068756950714,23.315291757974396,24.03955565286219,23.177967121333864
2006-Jan-01 08:00:00,95.55650117465923,23.9796387935821,23.805735836942315,25.197888986195526,23.657829893655773
2006-Jan-01 09:00:00,90.26290673749479,25.15381991082418,24.977326055265397,26.33955565286219,24.15320094173285
2006-Jan-01 10:00:00,84.39007351950981,26.528823566747604,26.418999387467995,27.439555652862197,24.538191166509225
2006-Jan-01 11:00:00,79.07089575833795,27.824868059737344,27.744584097915123,28.481222319528865,24.936323952060548
2006-Jan-01 12:00:00,75.73193155089405,28.808490947853013,28.66629869363639,29.539555652862195,25.347937465185495
2006-Jan-01 13:00:00,73.96686991633715,29.385932088827335,29.219831998730104,29.99788898619553,25.496917913519805
2006-Jan-01 14:00:00,72.02083014371546,29.886162331430658,29.776835114316427,29.99788898619553,25.39990814040864
2006-Jan-01 15:00:00,71.6581037207714,29.89429368333416,29.678395492017856,29.99788898619553,25.330102093551446
2006-Jan-01 16:00:00,72.60548864561194,29.57898872951458,29.301913689113647,29.822888986195526,25.171112941847355
2006-Jan-01 17:00:00,73.65289902345965,29.19176796869041,28.857031280696418,29.46455565286219,25.035835393041612
2006-Jan-01 18:00:00,76.67747358447396,28.408787990611312,27.842155720045294,29.12288898619553,24.8590233458266
2006-Jan-01 19:00:00,79.22071479786364,27.673136647529475,27.068299255744023,28.53122231952886,24.59280118977882
2006-Jan-01 20:00:00,81.07931036387826,27.18702735206207,26.73435807827376,27.789555652862195,24.456149610430586
2006-Jan-01 21:00:00,82.6651046080243,26.896843579448007,26.539449477961032,27.03122231952886,24.335192757209573
2006-Jan-01 22:00:00,83.79905695322041,26.644535509313386,26.355145683873477,26.46455565286219,24.039044369604003
2006-Jan-01 23:00:00,83.76753210675822,26.44628892870489,26.201695243195587,26.064555652862197,23.74143372614178
2006-Jan-02 00:00:00,83.43321804749839,26.25781738638176,26.04578594236722,25.606222319528854,23.364052292714632
2006-Jan-02 01:00:00,82.9150859486955,25.992583484420038,25.819676272702015,25.164555652862195,22.94467148752413
2006-Jan-02 02:00:00,82.51496632808716,25.727992085199975,25.55904219703318,24.99788898619553,22.786089604590895
2006-Jan-02 03:00:00,83.47109138701154,25.56964896019849,25.41159124562579,24.99788898619553,23.255781516184612
2006-Jan-02 04:00:00,85.02047688780914,25.563152325944582,25.36581057878396,24.99788898619553,23.122077691418486
2006-Jan-02 05:00:00,85.72844637689552,25.307276723110423,25.126282690283023,24.41455565286219,23.07102484815037
2006-Jan-02 06:00:00,88.74639008900253,25.026907286450182,24.89555230174418,24.347888986195528,23.3010544046211
2006-Jan-02 07:00:00,89.82730455365466,24.968222639583598,24.775499355040736,24.831222319528862,23.4813740912181
2006-Jan-02 08:00:00,89.5791521135816,25.162271927004838,24.962341380973736,25.58122231952886,23.7606203103356
