Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,78.95736598995364,27.025646878689553,27.21047345530401,24.638678976033887,23.287664831092574
2006-Jan-01 02:00:00,83.44065029864932,26.255841846049773,26.54946192546345,23.980345642700556,23.237449667267132
2006-Jan-01 03:00:00,86.05092379495915,25.747806754157043,26.056346704984154,23.838678976033886,23.170884298351655
2006-Jan-01 04:00:00,88.10080003240172,25.354588356996,25.64267999980412,23.738678976033885,23.124198851027927
2006-Jan-01 05:00:00,89.90803618577786,24.964280735248575,25.231015393388446,23.58034564270055,23.04004769665505
2006-Jan-01 06:00:00,91.92148740745876,24.539460091198965,24.786249800532584,23.438678976033884,22.951377600353553
2006-Jan-01 07:00:00,93.13637797825902,24.29765904166599,24.55126349699459,24.038678976033882,23.177090444505552
2006-Jan-01 08:00:00,88.06861253023118,25.350096847976015,25.6783503123888,25.19701230936722,23.656953216827464
2006-Jan-01 09:00:00,78.6450194562563,27.506686346301876,28.004587442109614,26.33867897603389,24.152324264904546
2006-Jan-01 10:00:00,68.61632249635467,30.14015936906701,30.753013734785767,27.438678976033888,24.53731448968092
2006-Jan-01 11:00:00,60.65145884051149,32.53767863687896,33.26029826264908,28.480345642700552,24.93544727523224
2006-Jan-01 12:00:00,55.97364644305594,34.25381153472222,34.93930267399066,29.538678976033882,25.347060788357187
2006-Jan-01 13:00:00,53.796329536854905,35.17013784816317,35.87070490142505,29.99701230936722,25.496041236691497
2006-Jan-01 14:00:00,51.117371640922016,36.15163937221455,36.92647909605012,29.99701230936722,25.399031463580332
2006-Jan-01 15:00:00,51.431660285723844,35.958758038752116,36.562490004992696,29.99701230936722,25.329225416723133
2006-Jan-01 16:00:00,53.66553244222012,35.09776287825786,35.60445200136419,29.822012309367214,25.170236265019046
2006-Jan-01 17:00:00,55.960716856114665,34.191234498517794,34.49506858327147,29.46367897603388,25.0349587162133
2006-Jan-01 18:00:00,62.5020335988987,32.11701353666121,32.057674022104386,29.12201230936722,24.85814666899829
2006-Jan-01 19:00:00,68.53508524127783,30.270906498078176,30.108971151708833,28.530345642700553,24.591924512950513
2006-Jan-01 20:00:00,72.53872458531754,29.156977449633235,29.154848312295485,27.78867897603389,24.455272933602277
2006-Jan-01 21:00:00,74.86773080777525,28.63136893140049,28.696177316539977,27.030345642700553,24.334316080381267
2006-Jan-01 22:00:00,76.55156022692547,28.216142181233096,28.319542888222188,26.46367897603388,24.038167692775698
2006-Jan-01 23:00:00,77.08337628482064,27.88304488093178,28.00767721621094,26.063678976033884,23.74055704931347
2006-Jan-02 00:00:00,77.25605419028305,27.580889410778934,27.717868269291852,25.605345642700552,23.36317561588632
2006-Jan-02 01:00:00,77.19501039334561,27.21632657759506,27.377485593431988,25.163678976033882,22.94379481069582
2006-Jan-02 02:00:00,77.20185349740903,26.862758812535574,27.012835154587133,24.997012309367218,22.785212927762583
2006-Jan-02 03:00:00,78.47669269129618,26.619087483472473,26.76498804239334,24.997012309367218,23.254904839356303
2006-Jan-02 04:00:00,80.27420303872024,26.538414086428006,26.628450091809142,24.997012309367218,23.12120101459018
2006-Jan-02 05:00:00,81.21753307584625,26.220828330836383,26.318722002568066,24.413678976033882,23.070148171322057
2006-Jan-02 06:00:00,84.32153640669442,25.88833615644273,26.023061143360184,24.34701230936722,23.30017772779279
2006-Jan-02 07:00:00,85.56601692447246,25.78478451194741,25.852273036774033,24.83034564270055,23.48049741438979
2006-Jan-02 08:00:00,84.4951458841631,26.146856940481168,26.28771791474111,25.58034564270055,23.759743633507295
2006-Jan-02 09:00:00,80.7711282410352,26.994026926778588,27.378995922968098,25.997012309367218,23.87624405649991
2006-Jan-02 10:00:00,73.71972961746538,28.604183284533132,29.168881902797583,26.580345642700554,24.01966407800298
2006-Jan-02 11:00:00,69.50934961344183,29.60216311773819,29.96948006115281,27.522012309367216,24.17344500234942
2006-Jan-02 12:00:00,62.41651251762044,31.393334878281433,32.13603116470177,28.422012309367222,24.236081590256244
2006-Jan-02 13:00:00,53.88744572113816,33.96306352980273,34.65193841191813,30.08034564270055,24.81934083928094
2006-Jan-02 14:00:00,53.04391631342734,34.31268732587534,34.57714299225082,30.997012309367218,24.79376057462083
2006-Jan-02 15:00:00,53.10324874619025,33.86619054887711,34.18429317821485,30.58867897603388,24.348055146967713
2006-Jan-02 16:00:00,52.77135057896904,33.68938721388358,33.98736126685657,29.947012309367214,24.134867244876347
2006-Jan-02 17:00:00,56.26452851011831,32.43216133994718,32.52062645344967,29.28867897603389,23.989493556627938
2006-Jan-02 18:00:00,60.64849030759001,30.972139732837785,30.92676618172141,28.763678976033887,23.634403896794463
2006-Jan-02 19:00:00,65.02615140529149,29.447453207347138,29.224399546085312,28.130345642700558,23.376725657952676
2006-Jan-02 20:00:00,68.68930704481399,28.466787421721207,28.409427026681442,27.330345642700554,23.36589835148092
2006-Jan-02 21:00:00,71.10676267070079,28.01564897289947,28.010038181440848,26.70534564270055,23.280076285889407
2006-Jan-02 22:00:00,73.12219777367268,27.611474855391105,27.634431526811596,26.205345642700554,23.19144909703471
2006-Jan-02 23:00:00,76.43683660559931,27.101351173344472,27.171802353639503,25.41367897603389,23.427038410538074
2006-Jan-03 00:00:00,80.20509216615672,26.711412152757905,26.83721999890548,25.34701230936722,23.535994347387682
2006-Jan-03 01:00:00,81.43612704594678,26.56176836527115,26.595897177267307,25.247012309367218,23.551399325124766
2006-Jan-03 02:00:00,83.84275265727995,26.22481076728124,26.28865992804036,24.997012309367218,23.58734097518119
