Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,79.87664289785765,26.929220640777007,27.05076749042769,24.643086468755957,23.29207232381465
2006-Jan-01 02:00:00,84.60493172987684,26.114798196160677,26.356552668434983,23.984753135422622,23.24185715998921
2006-Jan-01 03:00:00,87.30412711372895,25.591424072530234,25.84570888085489,23.84308646875596,23.17529179107373
2006-Jan-01 04:00:00,89.43625309982384,25.18456071211001,25.420011875356266,23.74308646875596,23.128606343750004
2006-Jan-01 05:00:00,91.33470912618361,24.779831331535775,24.99636999888872,23.584753135422627,23.04445518937713
2006-Jan-01 06:00:00,93.46734487763928,24.337042603140887,24.53691757638258,23.443086468755954,22.955785093075622
2006-Jan-01 07:00:00,94.80437411561559,24.07464450192916,24.284546924738176,24.04308646875596,23.18149793722763
2006-Jan-01 08:00:00,90.09092012066769,25.02895069894529,25.314724663953502,25.201419802089294,23.661360709549538
2006-Jan-01 09:00:00,79.44518716976673,27.405407775352757,28.009784050420773,26.34308646875596,24.156731757626616
2006-Jan-01 10:00:00,68.14765262470304,30.358829657981122,31.047097480911237,27.443086468755954,24.541721982402994
2006-Jan-01 11:00:00,59.586659535610615,32.98293934486437,33.76843057083775,28.484753135422622,24.939854767954316
2006-Jan-01 12:00:00,55.004629187780246,34.72474466918127,35.442999638556635,29.54308646875596,25.35146828107926
2006-Jan-01 13:00:00,52.9689801289853,35.62548487476309,36.36481931533941,30.00141980208929,25.500448729413566
2006-Jan-01 14:00:00,50.134011005627464,36.684577540038696,37.488051353701444,30.00141980208929,25.403438956302406
2006-Jan-01 15:00:00,50.55319518747779,36.44829777907801,37.083883229284616,30.00141980208929,25.333632909445203
2006-Jan-01 16:00:00,52.97345302164583,35.50997585329205,36.06169659992706,29.826419802089294,25.174643757741123
2006-Jan-01 17:00:00,55.4937505305889,34.525445005386906,34.900445062727805,29.468086468755956,25.039366208935377
2006-Jan-01 18:00:00,62.707224511341195,32.228448151091385,32.192746703523945,29.12641980208929,24.862554161720364
2006-Jan-01 19:00:00,69.1301244619427,30.282255652348894,30.032819758812646,28.53475313542263,24.59633200567259
2006-Jan-01 20:00:00,73.37486670342382,29.095343508517995,29.06151193874635,27.79308646875596,24.45968042632435
2006-Jan-01 21:00:00,75.71233453133857,28.556507618342255,28.580051217750082,27.03475313542263,24.33872357310334
2006-Jan-01 22:00:00,77.39801592595853,28.136542542672995,28.189564530792186,26.468086468755956,24.04257518549777
