Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,80.06501307580663,26.887401765754475,26.99927613662787,24.643086468755957,23.29207232381465
2006-Jan-01 02:00:00,84.79714350452616,26.074875219250682,26.308108712600497,23.984753135422622,23.24185715998921
2006-Jan-01 03:00:00,87.49307267351189,25.553593930828367,25.800829868970126,23.84308646875596,23.17529179107373
2006-Jan-01 04:00:00,89.61750481168208,25.149267896801646,25.378309692788047,23.74308646875596,23.128606343750004
2006-Jan-01 05:00:00,91.50869553655987,24.746784542780063,24.9574182461252,23.584753135422627,23.04445518937713
2006-Jan-01 06:00:00,93.63565165558067,24.305934158161932,24.50038193685303,23.443086468755954,22.955785093075622
2006-Jan-01 07:00:00,94.95698295878101,24.04686746281695,24.254500930261287,24.04308646875596,23.18149793722763
2006-Jan-01 08:00:00,89.9977869259447,25.046018214331212,25.3509838998667,25.201419802089294,23.661360709549538
2006-Jan-01 09:00:00,78.89949141875529,27.525772347844807,28.164321045792065,26.34308646875596,24.156731757626616
2006-Jan-01 10:00:00,67.41159931262739,30.55360582486973,31.292219380623834,27.443086468755954,24.541721982402994
2006-Jan-01 11:00:00,58.90635434724368,33.19479921037192,34.0281891065014,28.484753135422622,24.939854767954316
2006-Jan-01 12:00:00,54.55189413260643,34.881882051443334,35.62403743450445,29.54308646875596,25.35146828107926
2006-Jan-01 13:00:00,52.74251074858508,35.709722572262706,36.46366058831339,30.00141980208929,25.500448729413566
2006-Jan-01 14:00:00,50.043246782303164,36.72042339867264,37.531233958719795,30.00141980208929,25.403438956302406
2006-Jan-01 15:00:00,50.73662545955735,36.38364902228367,36.9982260660936,30.00141980208929,25.333632909445203
2006-Jan-01 16:00:00,53.456449448572386,35.345211632467645,35.863317306566316,29.826419802089294,25.174643757741123
2006-Jan-01 17:00:00,56.22540913199149,34.28432108229209,34.62112669214954,29.468086468755956,25.039366208935377
2006-Jan-01 18:00:00,63.5619111229355,31.979837751735648,31.939468220982388,29.12641980208929,24.862554161720364
2006-Jan-01 19:00:00,69.68614224937858,30.134403956153175,29.85486520757355,28.53475313542263,24.59633200567259
2006-Jan-01 20:00:00,73.86429387851268,28.986715567515727,28.940864468713716,27.79308646875596,24.45968042632435
2006-Jan-01 21:00:00,76.06005681601961,28.47747073695616,28.48605936468289,27.03475313542263,24.33872357310334
2006-Jan-01 22:00:00,77.68082423021539,28.072180292535933,28.112910055531277,26.468086468755956,24.04257518549777
2006-Jan-01 23:00:00,78.15823003158974,27.748830886568726,27.806402055800273,26.068086468755954,23.744964542035547
2006-Jan-02 00:00:00,78.27236550659076,27.45860095657392,27.523461197578353,25.609753135422622,23.367583108608397
2006-Jan-02 01:00:00,78.19133489928079,27.098164587343764,27.185353839763255,25.16808646875596,22.948202303417897
2006-Jan-02 02:00:00,78.19664201132376,26.744561151740168,26.823726271424363,25.00141980208929,22.789620420484656
2006-Jan-02 03:00:00,79.41476607668682,26.513842790699485,26.589138366988994,25.00141980208929,23.25931233207838
2006-Jan-02 04:00:00,81.13611556285746,26.450766798279037,26.467175046833447,25.00141980208929,23.125608507312254
2006-Jan-02 05:00:00,82.09994156682463,26.13103115650438,26.15585789229605,24.41808646875596,23.07455566404413
2006-Jan-02 06:00:00,85.22208760784166,25.797784762817855,25.86057307393178,24.351419802089293,23.304585220514866
2006-Jan-02 07:00:00,86.50718837972137,25.686715874665584,25.694109903911976,24.834753135422627,23.484904907111865
2006-Jan-02 08:00:00,85.30464566576752,26.071239377708284,26.147704564172713,25.584753135422627,23.764151126229365
2006-Jan-02 09:00:00,81.07170905100627,27.021091422670562,27.368094939566117,26.00141980208929,23.880651549221984
2006-Jan-02 10:00:00,73.49345052304714,28.757354897630904,29.290221074311958,26.584753135422627,24.024071570725052
2006-Jan-02 11:00:00,69.47870507170988,29.72480426781016,30.09891513405483,27.526419802089293,24.17785249507149
2006-Jan-02 12:00:00,62.03106263102901,31.62658101074818,32.33362203467328,28.426419802089296,24.240489082978314
2006-Jan-02 13:00:00,53.564824862295524,34.22137680007202,34.92124409181369,30.08475313542262,24.823748332003017
2006-Jan-02 14:00:00,53.10915688477803,34.46085851259593,34.750089159267446,31.00141980208929,24.7981680673429
2006-Jan-02 15:00:00,53.6608087008563,33.852866366389016,34.16544626132467,30.593086468755956,24.35246263968979
