Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],PLENUMTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],PLENUMTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],PLENUMTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],PLENUMTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C],PLENUMTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,78.97059628017023,82.53082611963455,27.181609350501635,25.87383387635852,27.139236822679823,25.94151499913706,24.642456416309006,24.629851555028214,23.2914422713677,23.278837410086908
2006-Jan-01 02:00:00,81.97017300855318,89.13388818825251,26.715495788429223,24.766598575784787,26.728842704153397,24.854961853704182,23.98412308297567,23.97151822169488,23.241227107542258,23.228622246261466
2006-Jan-01 03:00:00,83.82884148177537,93.16870778282801,26.349031578481544,24.05774793938885,26.358304992011586,24.144372864307787,23.84245641630901,23.829851555028213,23.174661738626778,23.162056877345986
2006-Jan-01 04:00:00,85.40322329661656,96.08883196406195,26.037137809512345,23.56249305123174,26.035634714162025,23.637979859145048,23.742456416309007,23.729851555028215,23.127976291303053,23.11537143002226
2006-Jan-01 05:00:00,86.69844488759969,98.65293430995631,25.732650020577506,23.088958444894445,25.72420522126359,23.15056137569054,23.584123082975676,23.571518221694888,23.043825136930177,23.031220275649385
2006-Jan-01 06:00:00,88.04915722323021,100.0,25.417137359145602,22.551257897121832,25.401462187437804,22.596020733807933,23.442456416309003,23.42985155502822,22.95515504062867,22.94255017934788
2006-Jan-01 07:00:00,89.35745596105669,99.80835078403062,25.14571261793584,22.347974268005697,25.12290564165976,22.411403180989677,24.042456416309008,24.029851555028216,23.180867884780678,23.168263023499886
2006-Jan-01 08:00:00,88.35096197444255,90.6284182525418,25.435272599506025,24.318234162369816,25.35231976379127,24.766026207383703,25.200789749642343,25.188184888361548,23.660730657102587,23.648125795821795
2006-Jan-01 09:00:00,85.07032885330004,71.14221632071823,26.270763301356542,28.81497420162451,26.334185878609237,29.82447423815295,26.34245641630901,26.329851555028213,24.156101705179665,24.143496843898873
2006-Jan-01 10:00:00,79.82871946467117,53.3484925076996,27.571836327581792,34.13849513499809,27.702988232913466,35.566540131028,27.44245641630901,27.42985155502821,24.541091929956043,24.52848706867525
2006-Jan-01 11:00:00,74.75765150816686,41.836673493259504,28.915907236616363,38.76398491580747,29.0368019820889,40.389992723452025,28.484123082975675,28.47151822169488,24.939224715507365,24.926619854226573
