Hourly,LIVINGTHERMALZONE:Zone Air Relative Humidity[%],LIVINGTHERMALZONE:Zone Air Temperature[C],LIVINGTHERMALZONE:Zone Mean Radiant Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Drybulb Temperature[C],LIVINGTHERMALZONE:Zone Outdoor Air Wetbulb Temperature[C]
2006-Jan-01 01:00:00,79.32048750282279,26.97707091927859,27.147045052215788,24.639555652862196,23.288541507920886
2006-Jan-01 02:00:00,83.88928023307396,26.19254220929184,26.47658360620507,23.981222319528865,23.23832634409544
2006-Jan-01 03:00:00,86.51395072939499,25.683004189545372,25.97909232996682,23.83955565286219,23.171760975179964
2006-Jan-01 04:00:00,88.58098915405543,25.2876310582441,25.56282875945409,23.739555652862194,23.12507552785624
2006-Jan-01 05:00:00,90.41051712264574,24.894329142273133,25.148353902254858,23.581222319528862,23.04092437348336
2006-Jan-01 06:00:00,92.45644088718733,24.4650722279814,24.699765032679153,23.439555652862193,22.95225427718186
2006-Jan-01 07:00:00,93.65952166501383,24.225939001077283,24.466388709667083,24.03955565286219,23.177967121333864
2006-Jan-01 08:00:00,88.82305628732854,25.232468030841208,25.469518004908608,25.197888986195526,23.657829893655773
2006-Jan-01 09:00:00,79.3371007222422,27.38099221513336,28.041290819163162,26.33955565286219,24.15320094173285
2006-Jan-01 10:00:00,68.20870293677376,30.274775112967447,30.997125058218284,27.439555652862197,24.538191166509225
2006-Jan-01 11:00:00,59.69756705343854,32.86199055487498,33.674869992485974,28.481222319528865,24.936323952060548
2006-Jan-01 12:00:00,54.992442111146836,34.62498151992295,35.366868391452705,29.539555652862195,25.347937465185495
2006-Jan-01 13:00:00,52.91587356832009,35.52890578027686,36.29026643385197,29.99788898619553,25.496917913519805
2006-Jan-01 14:00:00,50.17420323971739,36.55015754456041,37.38022496220533,29.99788898619553,25.39990814040864
2006-Jan-01 15:00:00,50.70234469569061,36.27371828090923,36.90626837481003,29.99788898619553,25.330102093551446
2006-Jan-01 16:00:00,53.28519303251908,35.281475344745154,35.81752033578694,29.822888986195526,25.171112941847355
2006-Jan-01 17:00:00,55.9767726650206,34.24365435016602,34.59819790955571,29.46455565286219,25.035835393041612
2006-Jan-01 18:00:00,62.99454057998175,32.02731557452622,31.99741162386964,29.12288898619553,24.8590233458266
2006-Jan-01 19:00:00,68.97083801573125,30.216538459794194,29.97930114306641,28.53122231952886,24.59280118977882
2006-Jan-01 20:00:00,73.08444348376376,29.083929989231063,29.0816568085355,27.789555652862195,24.456149610430586
2006-Jan-01 21:00:00,75.31203824513837,28.569486768828963,28.627513957687697,27.03122231952886,24.335192757209573
2006-Jan-01 22:00:00,76.95234515804746,28.160167944290624,28.25383623267952,26.46455565286219,24.039044369604003
2006-Jan-01 23:00:00,77.45569456727743,27.83175745572108,27.944416783919664,26.064555652862197,23.74143372614178
2006-Jan-02 00:00:00,77.60181311125346,27.53486802846272,27.65758366753227,25.606222319528854,23.364052292714632
2006-Jan-02 01:00:00,77.52766824865687,27.173023941757208,27.318486547151334,25.164555652862195,22.94467148752413
2006-Jan-02 02:00:00,77.54085003555309,26.8179388505875,26.95275584157852,24.99788898619553,22.786089604590895
2006-Jan-02 03:00:00,78.81191643121964,26.575421061890697,26.70630063247604,24.99788898619553,23.255781516184612
2006-Jan-02 04:00:00,80.57908322628585,26.501867721363563,26.574418695301972,24.99788898619553,23.122077691418486
2006-Jan-02 05:00:00,81.5238622039672,26.18473874981771,26.265369721436997,24.41455565286219,23.07102484815037
2006-Jan-02 06:00:00,84.62909351202602,25.853259922664773,25.970378781182173,24.347888986195528,23.3010544046211
2006-Jan-02 07:00:00,85.90102579086145,25.744572694501496,25.795928184881173,24.831222319528862,23.4813740912181
2006-Jan-02 08:00:00,84.84069255539627,26.103193898411888,26.224047568201826,25.58122231952886,23.7606203103356
2006-Jan-02 09:00:00,80.77704019585065,27.019939669929812,27.412737391799993,25.99788898619553,23.877120733328216
2006-Jan-02 10:00:00,73.27456069654376,28.73999881950516,29.314403799302326,26.58122231952886,24.020540754831288
2006-Jan-02 11:00:00,69.09824796880037,29.74290595954289,30.141764370402,27.52288898619553,24.174321679177726
2006-Jan-02 12:00:00,61.61136642457797,31.66175906465214,32.41153659685071,28.422888986195527,24.23695826708455
2006-Jan-02 13:00:00,52.960148169950465,34.327251540952865,35.0598146467603,30.081222319528862,24.82021751610925
2006-Jan-02 14:00:00,52.20459904870543,34.66116800197188,34.97306257041701,30.99788898619553,24.794637251449135
2006-Jan-02 15:00:00,52.541590589069024,34.12040899185846,34.46645394460331,30.58955565286219,24.348931823796025
2006-Jan-02 16:00:00,52.577987705191696,33.81657268292093,34.14881577091372,29.947888986195526,24.135743921704655
2006-Jan-02 17:00:00,56.38604423540736,32.44982101941083,32.56852046533413,29.289555652862195,23.990370233456247
2006-Jan-02 18:00:00,61.25165339673644,30.847478734717086,30.80405990657083,28.764555652862196,23.635280573622776
2006-Jan-02 19:00:00,65.70262166331858,29.307416476676106,29.06316374973683,28.13122231952886,23.377602334780985
2006-Jan-02 20:00:00,69.07780449542724,28.404972383508575,28.337736603429892,27.331222319528862,23.366775028309224
2006-Jan-02 21:00:00,71.4406613262909,27.968686576763574,27.949179999889605,26.706222319528862,23.28095296271772
2006-Jan-02 22:00:00,73.44518070550004,27.568246247717116,27.576753328744218,26.206222319528862,23.192325773863022
2006-Jan-02 23:00:00,76.77246338483515,27.057280397571926,27.113418001372054,25.41455565286219,23.427915087366387
2006-Jan-03 00:00:00,80.54407016571999,26.668245611368516,26.779353834643075,25.347888986195528,23.536871024215984
2006-Jan-03 01:00:00,81.72966979611526,26.528347970543802,26.5491476058052,25.24788898619553,23.552276001953075
2006-Jan-03 02:00:00,84.10664658451087,26.198590969976923,26.24456761824234,24.99788898619553,23.5882176520095
2006-Jan-03 03:00:00,83.96963779573129,26.12304860829683,26.16865074952455,24.99788898619553,23.122077691418486
2006-Jan-03 04:00:00,82.96609434963979,25.848763677303555,25.809942805142672,24.41455565286219,22.693384634828504
2006-Jan-03 05:00:00,85.08804560099206,25.228084079970202,25.32019122833691,23.99788898619553,22.618940518186847
2006-Jan-03 06:00:00,86.15037006765355,24.979056739218404,25.067309241064223,23.64788898619553,22.57521083534625
2006-Jan-03 07:00:00,87.16456564602605,24.791582696216945,24.95142368731686,23.74788898619553,22.58847043125567
2006-Jan-03 08:00:00,84.75071314252335,25.224955582629534,25.42818689307228,23.99788898619553,22.619564130591368
2006-Jan-03 09:00:00,82.20939780600442,25.803479327623602,26.300448908043617,24.28955565286219,22.902358442353073
2006-Jan-03 10:00:00,75.88598816564897,27.475406566685056,28.230418722947807,24.78955565286219,23.386916408086552
